question_darija,expected_topic,retrieval_should_succeed,answer,sources_count,keyword_hits,keyword_score,retrieval_ok,scope_check_pass,latency_ms
كيفاش نحط المريض باش نفحص قلبو؟,patient_positioning,TRUE,خلاص، لازم نبدأ بتحديد وضعية الفحص. نضيف المريض على الأريكة ونجعلو عند 54 درجة تقريبا. لو كانت المريضة أنثى، نغطي ثدييها كي نضمن خصوصيتها. بعدين، نبدأ الفحص العام على السرير. نستمع لصوت القلب واألوعية الدموية، ونبحث عن أي أدوات توحي بأمراض القلب واألوعية الدموية، مثل بخاخ غليسريل أو سجل العالج المضاد للتخثر أو تخطيط القلب الكهربائي.,3,1,0.25,True,True,3718
شنوا المناطق الأربعة اللي نتسمع فيهم القلب؟,auscultation_areas,TRUE,"بقا المريض على األريكة واكشف الصدر، لو كانت المريضة أنثى فاحفظ خصوصيتها بتغطية ثدييها. 

مناطق القلب اللي نتسمع فيها هي:

1. المقدمة: هادي في منتصف الصدر.
2. البركورديوم: هادي في منطقة القفص الصدري أمام القلب.
3. منطقة القفص الصدري: هادي في منطقة الصدر.
4. منطقة الصدر: هادي في منطقة القفص الصدري.

هذي للتثقيف — راجع طبيبك.",3,0,0.0,True,True,1625
شنوا الفرق بين S1 و S2؟,heart_sounds,TRUE,يتبع S1 صوت القلب الاول ويشبه صوت مفتاح البوق، بينما يتبع S2 صوت القلب الثاني ويشبه صوت مفتاح البوق يغلق.,5,0,0.0,True,True,1599
علاش نلمس النبض الشعاعي وقت فحص القلب؟,radial_pulse,TRUE,لازم نكون حذرين من الصدمة أو الإصابة العالجية المنشأ من تصوير الأوعية أو الاستعداد لجراحة، ففي هذه الحالات قد يكون النبض الشعاعي غائب.,5,0,0.0,True,True,44030
شنوا معنى النبض بطيء الارتفاع؟,pulse_character,TRUE,النبض بطيء الارتفاع، هي حالة طبية تتحول فيها النبض من عادي ليكون بطيء في الارتفاع. خاص يكون النبض بين 40-60 نبضة في الدقيقة. لازم تتواصل مع طبيبك وتراجع معاه. هذي للتثقيف — راجع طبيبك.,0,1,0.25,False,True,1497
شنوا نحوسو فيه في أظافر المريض وقت فحص القلب؟,nail_signs,TRUE,لازم نحوسو فيه في أظافر المريض وقت فحص القلب. هذا لتحديد إذا كان هناك أي إصابة بالتهاب الشغاف المعدي أو التهاب الشغاف الغير معدي.,3,0,0.0,True,True,1982
كيفاش نقيّم الضغط الوريدي الوداجي؟,JVP,TRUE,"لازم تقيّم الضغط الوريدي الوداجي (Doppler) لتحديد وجود تضيق أو توسع في الشرايين. هذا يمكن أن يساعد في تشخيص حالات مثل التهاب الشغاف المعدي أو القلس األبهر.

هذي للتثقيف — راجع طبيبك.",4,0,0.0,True,True,43691
شنوا معنى الزرقة الطرفية وين نلقوها؟,cyanosis,TRUE,الزرقة الطرفية هتكون علامة من علامات متالزمة مارفان. هي الزرقة الموجودة على الحنك المرتفع.,4,1,0.25,True,True,22740
شنوا النفخة الانقباضية وعلاش تصير؟,murmurs,TRUE,"لازم نتعرف على النفخة الانقباضية هي نوع من عالمات ضيق األبهر. هي نفخة محسوسة تظهر في الصدر وتكون نتيجة لضغط الدم العالي في البطين الأيمن. 

نصنف النفخة الانقباضية إلى عدة أنواع، منها النفخة الانقباضية المتنقلة، والنفخة الانقباضية الثابتة، والنفخة الانقباضية المزدوجة.

لازم نراجع وظيفة القلب واألوعية الدموية للمريض، ونفحصه بشكل دقيق للتأكد من وجود أي أمراض قلبية أو وعائية أخرى.

هذي للتثقيف – راجع طبيبك.",5,1,0.25,True,True,23314
شنوا علامات التهاب الشغاف اللي نلقوها في اليدين؟,endocarditis,TRUE,"هذي للتثقيف — راجع طبيبك.

التهاب الشغاف يظهر علامات في اليدين كالتالي:

* أظافر على شكل ملعقة نتيجة فقر الدم بسبب نقص الحديد.
* عالمة كوينك: رؤية النبضات الشعرية عند ضغط الضوء المسلط على طرف الظفر و أو احمرار وابيضاض متناوب في الظفر مع كل نبضة وهي سمة من سمات القصور األبهري الحاد المزمن.
* عقد أوسلر: كتل مؤلمة على لب األصابع - عالمة على التهاب الشغاف المعدي.
* آفات جينواي: آفات مسطحة أو عقد حمامية غير مؤلمة على الرسغ أو اليد.

هذي للتثقيف — راجع طبيبك.",5,2,0.5,True,True,23408
شنوا يدل عليه النبض غير المنتظم بشكل غير منتظم؟,atrial_fibrillation,TRUE,"لازم النبض غير المنتظم بشكل غير منتظم يتحول إلى تسرع القلب. 

هذي للتثقيف — راجع طبيبك.",4,1,0.25,True,True,23383
وين تشع النفخة متاع تضيق الأبهر؟,aortic_stenosis,TRUE,النفخة متاع تضيق الأبهر تشع إلى الرقبة.,3,1,0.25,True,True,45834
شنوا نحوسو فيه في وجه المريض وقت فحص القلب؟,facial_signs,TRUE,لازم النظر في البخاخ غليسريل NTG، السجل العالج المضاد للتخثر RNI، تخطيط القلب الكهربائي GCE، جهاز مراقبة القلب، صوت قلب مسموع، وأي أدوات أخرى توحي بأمراض القلب واألوعية الدموية.,4,0,0.0,True,True,1851
شنوا معنى النبض سريع الانخماص؟,collapsing_pulse,TRUE,"هذا النبض سريع الانخماص هو عالمة من عالمات القلس األبهر أو القناة الشريانية السالكة، ويشير إلى أن هناك مشكلة في القلب أو الشرايين.

هذي للتثقيف — راجع طبيبك.",3,3,0.75,True,True,23623
كيفاش نتسمع النفخة الانبساطية متاع القلس الأبهري؟,aortic_regurgitation,TRUE,لازم الجلوس إلى األمام و استمع إلى الحافة اليسرى القصية أثناء انتهاء الزفير. تبرز النفخة الانبساطية من خلال الاستماع إلى التضيق المترالي.,5,2,0.5,True,True,44638
شنوا الأشياء اللي نحوسو فيهم في صدر المريض قبل التسمع؟,precordium_inspection,TRUE,"ما عنديش معلومات كافية في الوثيقة. لكن حسب السياق، هذي الأشياء اللي نحوسو فيهم في صدر المريض قبل التسمع:

- فحص منطقة القفص الصدري أمام القلب أو فوقه مباشرة (بركورديوم)
- فحص جهاز القلب واألوعية الدموية
- فحص البركورديوم تحديدا
- فحص الأدوية مثل: بخاخ غليسريل (NTG) أو سجل العالج المضاد للتخثر (RNI) أو تخطيط القلب الكهربائي (GCE) أو جهاز مراقبة القلب

هذي للتثقيف - راجع طبيبك.",3,0,0.0,True,True,1564
شنوا دلالة تضخم الكبد وقت فحص القلب؟,heart_failure_signs,TRUE,"لازم نعتبر دلالة تضخم الكبد على وجود مشاكل في الكبد، و ممكن تكون بسبب مرض أو عدوى. 

في بعض الحالات، التضخم الكبدي ممكن يكون نتيجة للاكتئاب أو التوتر الشديد. 

لازم نستكشف المزيد من المعلومات عن حالتك ليمكننا تقدير دلالة التضخم الكبدي. 

هذي للتثقيف — راجع طبيبك.",0,2,0.5,False,True,22776
عندي مريض عندو ورم في ساقو شنوا نفكر فيه من ناحية القلب؟,peripheral_edema,TRUE,"لازم نراجع حالة المريض ونتأكد من إن المريض ما عندهش قصور القلب أو تضيق الشريان التاجي. نصنف المريض على وفق دليل تضيق الشريان التاجي (CAD) ونتأكد من إن المريض ما عندهش علامات تضيق الشريان التاجي مثل الألم في الصدر أو التعب. نستخدم تقنيات مثل تخطيط القلب الكهربائي (ECG) وتصوير القلب بالرنين المغناطيسي (MRI) أو التصوير الشعاعي (CT) لتحديد وجود تضيق الشريان التاجي.

هذي للتثقيف — راجع طبيبك.",6,1,0.25,True,True,1915
شنوا نسألو فيه المريض قبل ما نبدا نفحصو؟,consent_introduction,TRUE,"لازم نبدأ بالأسئلة العامة، مثل: ما هو تاريخ المريض؟ وما هي المرضى السابقين؟ وما هي العوامل المرضية التي يعاني منها المريض؟ هذا يساعدنا في فهم حالة المريض وتوجيهنا في الفحص.

هذي للتثقيف — راجع طبيبك.",7,1,0.25,True,True,46352
شنوا نلازم نطلبو من الفحوصات بعد فحص القلب؟,investigations,TRUE,"لازم نطلبو من الفحوصات التالية بعد فحص القلب:

- تخطيط القلب الكهربائي (GCE)
- صورة صدر شعاعية (RXC)
- الدم المناسب حسب معطيات الحالة، مثل النسبة الدولية المسواة (RNI) إذا كان المريض سيخضع لعملية جراحية وشيكة بروتين عضلي (تروبونين) إذا كان المريض يشعر بتوعك حاد قبل الجراحة ويشتبه في احتشاء عضلة القلب.

هذي للتثقيف — راجع طبيبك.",4,3,0.75,True,True,44400
